,Dimensión,Año,CCAA,Unidad Territorial,Tasa total,Dimension total,0-39,40-49,50-59,60-69,+70,Mujer,Hombre,Cerebro,Cervix,Colorectal,Esofago,Estómago,Glándulas salivares,Hígado,Hipofaringe,"Labio, cavidad oral",Laringe,Leucemia,Linfoma Hodgkin,Linfoma No-Hodgkin,Mama,Melanoma de piel,Mesotelioma,Mieloma Multiple,Nasofaringe,Orofaringe,Otros,Otros de piel,Ovario,Páncreas,Pene,Próstata,Pulmón,Riñón,Sarcoma Kaposi,Testículo,Tiroides,Utero,Vagina,Vejiga,Vesicula Biliar,Vulva
328,Prevalencia,2021,Castilla y León,Burgos,2167.4,7717,204,421,1071,1865,4153,3218,4498,109,45,1115,24,101,17,58,17,136,86,150,38,225,1117,165,6,78,12,32,183,969,82,52,16,1311,322,224,8,33,149,213,3,570,6,28
329,Prevalencia,2021,Castilla y León,León,2391.33,10801,245,516,1414,2525,6098,4626,6175,147,61,1579,33,142,24,79,23,192,116,207,48,310,1574,227,9,110,15,43,253,1447,115,73,22,1782,439,307,11,39,197,307,5,799,9,40
330,Prevalencia,2021,Castilla y León,Palencia,2302.52,3663,88,175,496,935,1966,1538,2125,51,20,532,11,48,8,27,8,65,41,70,17,106,528,77,3,37,5,15,86,461,38,25,7,625,153,106,3,14,68,103,1,271,3,13
331,Prevalencia,2021,Castilla y León,Salamanca,2335.06,7643,183,362,1007,1700,4389,3242,4401,104,43,1116,23,100,17,56,16,135,81,147,35,218,1105,160,6,78,11,30,180,1038,81,51,16,1261,308,216,7,28,140,215,3,568,6,28
332,Prevalencia,2021,Castilla y León,Segovia,2083.03,3200,91,178,478,749,1703,1340,1860,45,19,462,10,41,7,24,7,56,35,62,16,94,466,69,2,32,5,13,77,408,34,21,6,531,132,93,3,14,63,87,1,235,2,11
333,Prevalencia,2021,Castilla y León,Soria,2270.98,2015,50,96,271,442,1153,812,1203,27,11,295,6,26,4,15,4,35,22,39,9,57,275,42,1,20,3,8,48,279,20,13,4,341,81,57,2,8,36,52,0,152,1,7
334,Prevalencia,2021,Castilla y León,Valladolid,2099.36,10903,298,663,1550,2591,5797,4729,6173,158,69,1559,34,141,24,82,24,191,119,213,55,323,1671,237,9,110,17,45,259,1305,123,75,22,1807,455,317,11,47,223,319,5,787,9,40
335,Prevalencia,2021,Castilla y León,Zamora,2630.91,4438,85,176,519,965,2690,1801,2637,57,22,658,13,59,9,32,9,79,47,84,18,123,598,90,3,46,6,17,103,640,43,29,9,757,178,124,4,14,72,119,2,340,4,15
336,Prevalencia,2021,Castilla y León,Ávila,2313.15,3664,88,176,487,842,2070,1480,2183,50,20,535,11,48,8,27,8,65,40,71,17,104,506,76,3,37,5,15,86,492,37,24,7,628,150,105,3,14,66,97,1,277,3,13
337,Prevalencia,2021,Castilla-La Mancha,Albacete,1857.5,7178,252,464,1159,1674,3627,3095,4083,108,47,1016,23,92,16,54,16,125,79,143,42,217,1106,161,6,71,12,30,175,854,82,49,14,1158,298,211,7,39,156,205,3,513,6,26
338,Prevalencia,2021,Castilla-La Mancha,Ciudad Real,1894.58,9332,322,567,1462,2215,4765,4091,5241,139,61,1327,29,120,21,70,21,164,102,186,54,281,1445,209,7,93,15,39,227,1116,107,64,18,1497,387,273,10,49,200,271,4,664,8,35
339,Prevalencia,2021,Castilla-La Mancha,Cuenca,2104.64,4114,120,216,596,910,2271,1706,2408,58,24,596,13,53,9,30,9,73,45,80,21,120,589,88,3,41,6,16,99,547,43,27,8,678,167,119,4,19,79,111,1,305,3,14
340,Prevalencia,2021,Castilla-La Mancha,Guadalajara,1646.24,4372,182,364,750,1042,2032,1878,2493,69,32,608,14,55,10,33,10,76,49,89,29,136,688,103,3,42,8,19,109,493,50,29,9,696,182,132,5,28,104,120,2,305,3,16
341,Prevalencia,2021,Castilla-La Mancha,Toledo,1733.28,12295,485,904,1947,2894,6064,5293,7002,189,85,1727,40,157,28,93,29,215,137,250,77,376,1905,282,10,121,22,52,305,1432,141,84,25,1982,510,366,14,73,279,343,5,870,10,46
342,Prevalencia,2021,Cataluña,Barcelona,1764.66,100845,3933,7418,15378,23594,50520,45694,55151,1561,726,14145,322,1287,230,756,229,1757,1090,2035,630,3100,16380,2327,86,1002,177,417,2485,11501,1219,698,199,15792,4161,2963,113,586,2329,3017,51,6979,86,393
343,Prevalencia,2021,Cataluña,Girona,1731.48,13619,535,992,2140,3397,6553,5909,7710,212,95,1907,45,173,31,104,32,238,154,276,86,419,2136,312,11,135,24,59,337,1504,159,94,27,2227,576,407,15,80,312,391,6,958,11,50
344,Prevalencia,2021,Cataluña,Lleida,1829.37,8044,286,543,1232,1911,4070,3435,4608,122,52,1142,26,103,18,61,18,142,90,162,48,244,1217,181,6,80,14,34,198,957,90,55,16,1309,335,239,9,45,173,225,3,575,6,29
345,Prevalencia,2021,Cataluña,Tarragona,1798.94,14792,542,1050,2241,3624,7333,6378,8414,226,101,2080,48,189,33,113,34,258,166,298,89,451,2297,335,12,147,26,63,363,1670,171,102,30,2436,623,439,16,82,330,424,7,1050,12,54
346,Prevalencia,2021,Ceuta,Ceuta,1349.51,1127,63,94,219,314,435,501,625,19,9,152,3,14,2,9,3,19,13,24,9,36,187,27,0,10,2,5,29,101,14,7,2,179,49,35,1,8,30,33,0,75,0,4
347,Prevalencia,2021,Comunitat Valenciana,Alicante/Alacant,1863.86,35073,1225,2351,5386,8739,17370,15119,19953,534,238,4932,115,449,79,269,82,609,396,698,206,1067,5474,787,30,351,60,152,849,3860,409,244,71,5854,1497,1041,38,186,780,1026,16,2498,29,127
348,Prevalencia,2021,Comunitat Valenciana,Castellón/Castelló,1841.05,10808,378,759,1682,2606,5381,4688,6119,164,74,1522,35,138,24,82,25,189,121,216,64,329,1690,244,9,107,18,46,263,1228,125,74,22,1766,455,320,12,58,241,312,5,766,9,40
349,Prevalencia,2021,Comunitat Valenciana,Valencia/València,1808.78,46835,1689,3364,7414,11439,22926,21050,25784,725,331,6574,152,598,107,356,109,818,518,939,283,1441,7587,1072,40,467,82,200,1146,5187,565,326,93,7459,1968,1388,51,258,1074,1408,23,3257,40,180
350,Prevalencia,2021,Extremadura,Badajoz,1868.85,12520,443,785,2005,3027,6258,5449,7071,189,83,1773,40,161,28,95,29,219,140,250,73,379,1942,281,10,125,21,53,305,1450,144,86,25,2039,526,369,13,66,273,362,6,891,10,46
